15923,TIN
60133,TIN
83681,TIN
65507,TIN
12588,UNT
34263,TIN
49139,TIN
58995,TIN
88490,TIN
46444,TIN
60587,TIN
70569,UNT
44546,TIN
51628,TIN
30899,UNT
40110,TIN
15998,TIN
96457,TIN
70841,TIN
46139,TIN
80947,UNT
40386,TIN
98916,TIN
32190,TIN
27550,TIN
24040,TIN
73516,TIN
88905,TIN
42112,TIN
37740,TIN
72405,TIN
47445,TIN
27158,TIN
17183,TIN
42325,TIN
15180,TIN
58026,TIN
81352,TIN
33133,TIN
91036,TIN
22882,TIN
40842,TIN
73612,TIN
15815,TIN
24049,TIN
79204,TIN
46229,TIN
42196,UNT
34669,TIN
34575,TIN
20357,TIN
52445,TIN
10991,TIN
57135,TIN
72369,TIN
42192,TIN
43587,TIN
10684,UNT
41553,TIN
62986,TIN
70051,TIN
73642,TIN
10727,UNT
11645,TIN
72274,TIN
21524,TIN
84579,TIN
59519,TIN
51386,TIN
10918,TIN
57541,TIN
25125,TIN
61295,TIN
53351,TIN
25463,TIN
85613,TIN
85886,TIN
54621,TIN
80397,TIN
68875,UNT
67926,TIN
41588,TIN
51948,TIN
28196,TIN
50376,TIN
45304,TIN
27228,TIN
57326,TIN
88221,TIN
17714,UNT
97610,TIN
63048,TIN
30075,TIN
60466,TIN
25685,TIN
16333,TIN
78417,TIN
51525,TIN
84550,TIN
23530,TIN
57284,TIN
59700,TIN
13433,TIN
80197,TIN
79309,TIN
47696,TIN
71294,UNT
55633,TIN
87934,TIN
57732,UNT
27455,TIN
83466,TIN
48657,TIN
89635,UNT
89603,UNT
86611,TIN
12193,TIN
63985,TIN
20522,TIN
94260,UNT
70324,TIN
89329,TIN
11100,TIN
83240,TIN
81890,TIN
72037,TIN
78301,UNT
94607,TIN
72531,TIN
98575,TIN
58342,TIN
39429,TIN
18786,TIN
35785,UNT
67049,TIN
82273,UNT
98216,TIN
37649,TIN
14582,UNT
59751,TIN
92215,TIN
22311,TIN
75125,TIN
21354,TIN
22594,TIN
19410,UNT
33394,TIN
56513,TIN
59691,TIN
41997,TIN
56637,TIN
19815,UNT
97410,TIN
77746,TIN
17704,TIN
61674,TIN
39860,TIN
21826,UNT
79934,TIN
55048,TIN
76833,TIN
55832,TIN
32056,TIN
67841,TIN
94427,TIN
96594,TIN
62689,TIN
35968,TIN
14516,TIN
15866,TIN
57185,TIN
91430,TIN
29203,TIN
27913,TIN
53325,UNT
46410,TIN
26072,UNT
16856,TIN
89200,TIN
45269,TIN
15437,TIN
91472,TIN
98531,TIN
43753,UNT
98685,TIN
31665,TIN
38732,TIN
46983,TIN
22067,TIN
79756,TIN
99563,TIN
23542,TIN
83416,TIN
67418,TIN
58632,TIN
35612,TIN
96905,TIN
79778,TIN
90328,TIN
71350,TIN
43782,TIN
58287,TIN
32061,TIN
63129,TIN
74797,TIN
25177,TIN
87428,TIN
39400,TIN
62788,UNT
88745,TIN
70443,TIN
90327,TIN
65545,TIN
58543,TIN
79222,TIN
72401,TIN
31354,TIN
29008,TIN
41590,TIN
72523,TIN
14640,TIN
74909,TIN
96397,TIN
34030,TIN
69073,UNT
29113,TIN
11286,TIN
41821,TIN
76379,TIN
52080,TIN
51762,TIN
71592,TIN
78688,TIN
76135,TIN
30778,TIN
22569,TIN
48938,TIN
41438,TIN
73439,TIN
67018,UNT
